Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,26,23,24,29,20,24
First Downs,19,18,21,38,17,22
Rush Att,33,19,23,19,11,20
Rush Yds,146,46,100,133,102,52
Rush TDs,2,1,2,3,0,1
Pass Comp,18,33,26,38,28,30
Pass Att,25,44,34,56,40,52
Pass Yds,171,327,289,395,284,312
Pass TD,1,1,1,1,1,1
Pass INT,1,0,2,1,0,2
Sacks Taken,2,3,3,3,7,1
Sacked Yards,13,15,19,12,53,6
Net Pass Yards,158,312,270,383,231,306
Total Yards,304,358,370,516,333,358
Fumbles,1,0,1,1,1,2
Fumbles Lost,1,0,0,1,1,1
Turnovers,2,0,2,2,1,3
Penalties,6,6,11,8,6,9
Penalty Yds,41,50,92,70,30,69
3D Conv,4,7,3,5,3,7
3D Conv Yards,12,15,11,10,11,16
4D Conv,0,1,0,1,0,2
4D Conv Yards,0,2,0,2,2,3
Time of Possession,28:46,29:41,31:28,34:04,22:38,26:57
